Raw Name,Clean Name,alt name,Flip Vertical,Rotation Applied,Z reverse,Flipped in Preprocessing,Notes,Egocentric Leaning,Skip Affine,Refinement Inclusion,Correction Angle,MB Tilt Angle,Δ from 90,Mirrored?,Mirror Value,Experiment,Condition,AMIRA volume,neuropil segmenter / notes,L MB,R MB,L AL,R AL,L OL,R OL,CBupper,CBlower,PB,L NO,R NO,CB,CX,body length,head area
DFB12_Airyscan Processing_Stitch.czi,synA647_DF_B12.nrrd,,0,1,0,0,EXCLUDED,right,1,0,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
DFB15_Airyscan Processing_Stitch.czi,synA647_DF_B15.nrrd,,0,0,0,0,EXCLUDED,left,0,1,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
220214_synA647_brain1.tif,synA647_LL_1_220214.nrrd,,0,-55.2,0,-,EXCLUDED + distorted cx,sym,0,1,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
LL_201123_C2-3_synorf.tif,synA647_LL_201123_C23.nrrd,,0,0,0,1,EXCLUDED + anterior cut,right,0,1,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
LL_201213_2-3_brain2_synorf.tiff,synA647_LL_2-32.nrrd,,0,-2.9,0,-,EXCLUDED,left,0,1,,,,,,refbrain,excluded,5023428,LL,595262,576134,311046,272373,,,35947,11751,11066,,,,,,
220214_synA647_phallA555_brain3_Airyscan Processing_Stitch.czi - C=1.tif,synA647_LL_3_220214.nrrd,,0,0,1,-,EXCLUDED,sym,1,0,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
LL_200915_B10_Airyscan Processing_Stitch.czi,synA647_LL_B10_200915.nrrd,,1,-62.8,0,1,EXCLUDED + heavy distortion,left,0,1,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
LL_200917_B21_Airyscan Processing_Stitch.czi,synA647_LL_B21.nrrd,,1,20.3,0,-,EXCLUDED + low intensity,right,0,1,,,,,,refbrain,excluded,4034345,LL,311046,272373,344481,237590,,,19416,7244,6744,,,,,,
200727_L11_synA647_Airyscan Processing_Stitch.czi,synA647_LL_L11_200727.nrrd,,0,85.2,0,-,EXCLUDED + weird pixels size,right,0,1,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
ref_brain,,,,,,,,,,,,,,,,refbrain,averaged,4277958,LL_DF,532239,533664,279566,266636,7405,7074,25169,8041,9887,632,796,,43097,,
Line A w1b1,,,,,,,,,,,,,,,,lineA,,7103744,,,,,,,,,,,,,,,,
Line A w1b2,,,,,,,,,,,,,,,,lineA,,,,,,,,,,,,,,,,,,
Line A w1b3,,,,,,,,,,,,,,,,lineA,,7980064,,,,,,,,,,,,,,,,
Line A w1b4,,,,,,,,,,,,,,,,lineA,,5309489,,,,,,,,,,,,,,,,
Line A w1b5,,,,,,,,,,,,,,,,lineA,,4713527,,,,,,,,,,,,,,,,
Line A w1b6,,,,,,,,,,,,,,,,lineA,,4338071,,,,,,,,,,,,,,,,
Line A w1b7,,,,,,,,,,,,,,,,lineA,,,,,,,,,,,,,,,,,,
Line A w1b8,,,,,,,,,,,,,,,,lineA,,7232883,,,,,,,,,,,,,,,,
Line A w1b9,,,,,,,,,,,,,,,,lineA,,7655925,,,,,,,,,,,,,,,,
Line A w1b10,,,,,,,,,,,,,,,,lineA,,8465706,,,,,,,,,,,,,,,,
Line A w1b11,,,,,,,,,,,,,,,,lineA,,4691876,,,,,,,,,,,,,,,,
Line A w2b1,,,,,,,,,,,,,,,,lineA,,6469774,,,,,,,,,,,,,,,,
Line A w2b2,,,,,,,,,,,,,,,,lineA,,5642298,,,,,,,,,,,,,,,,
Line A w2b3,,,,,,,,,,,,,,,,lineA,,5709032,,,,,,,,,,,,,,,,
Line A w2b4,,,,,,,,,,,,,,,,lineA,,,,,,,,,,,,,,,,,,
Line A w2b5,,,,,,,,,,,,,,,,lineA,,4230337,,,,,,,,,,,,,,,,
Line A w2b6,,,,,,,,,,,,,,,,lineA,,5421661,,,,,,,,,,,,,,,,
Line A w2b7,,,,,,,,,,,,,,,,lineA,,4698403,,,,,,,,,,,,,,,,
Line A w2b8,,,,,,,,,,,,,,,,lineA,,4918582,,,,,,,,,,,,,,,,
Line A w2b9,,,,,,,,,,,,,,,,lineA,,4569362,,,,,,,,,,,,,,,,
Line A w2b10,,,,,,,,,,,,,,,,lineA,,4832247,,,,,,,,,,,,,,,,
Line A w2b11,,,,,,,,,,,,,,,,lineA,,4421941,,,,,,,,,,,,,,,,
Line A w2b12,,,,,,,,,,,,,,,,lineA,,4305528,,,,,,,,,,,,,,,,
Line A w2b13,,,,,,,,,,,,,,,,lineA,,5031243,,,,,,,,,,,,,,,,
Line A w2b14,,,,,,,,,,,,,,,,lineA,,5075112,,,,,,,,,,,,,,,,
Line A w2b15,,,,,,,,,,,,,,,,lineA,,,,,,,,,,,,,,,,,,
Line A w2b16,,,,,,,,,,,,,,,,lineA,,4628517,,,,,,,,,,,,,,,,
Rd1_i01b01,,,,,,,,,,,,,,,,intercastevworker,intercaste,7697952,,,,,,,,,,,,,,,,
Rd1_i01b02,,,,,,,,,,,,,,,,intercastevworker,intercaste,5411333,,,,,,,,,,,,,,,,
Rd1_i01b03,,,,,,,,,,,,,,,,intercastevworker,intercaste,5201251,,,,,,,,,,,,,,,,
Rd1_i01b05,,,,,,,,,,,,,,,,intercastevworker,intercaste,5045396,,,,,,,,,,,,,,,,
Rd1_i01b06,,,,,,,,,,,,,,,,intercastevworker,intercaste,6937302,,,,,,,,,,,,,,,,
Rd1_i01b07,,,,,,,,,,,,,,,,intercastevworker,intercaste,4221620,,,,,,,,,,,,,,,,
Rd1_i01b08,,,,,,,,,,,,,,,,intercastevworker,intercaste,5435464,,,,,,,,,,,,,,,,
Rd1_i01b09,,,,,,,,,,,,,,,,intercastevworker,intercaste,3862755,,,,,,,,,,,,,,,,
Rd1_i01b11,,,,,,,,,,,,,,,,intercastevworker,intercaste,4153434,,,,,,,,,,,,,,,,
Rd1_i02b12,,,,,,,,,,,,,,,,intercastevworker,intercaste,5938496,,,,,,,,,,,,,,,,
